"idCamaraSolo";"idCampanha";"idSitio";"dataMedida";"horaMedida";"CH4";"CO2";"N2O";"tempAr";"tempSolo";"vento";"altitude"
"36";"1301";"13077";"2004-11-20";"09:45:00";"-0.50999999";"12148";"0.5350000262";"27.5";\N;"0";\N
"37";"1301";"13077";"2004-11-20";"10:01:00";"-0.029999999";"11788";"0.2579999864";"27.5";\N;"0";\N
"38";"1301";"13077";"2004-11-20";"10:16:00";"-0.180000007";"7393";"0.2220000029";"27.5";\N;"0";\N
"39";"1301";"13078";"2004-11-20";"12:12:00";"-0.709999979";"34903";"3.4070000648";"29.5";\N;"0";"512.79998779"
"40";"1305";"13079";"2005-03-17";"12:25:00";"0.3600000143";"20937";"-0.003";\N;\N;\N;\N
"41";"1305";"13079";"2005-03-17";"12:41:00";"4.5399999619";"13315";"0.2790000141";\N;\N;\N;\N
"42";"1309";"13079";"2005-08-21";"16:06:00";"917.9699707";"8044.8701172";\N;\N;\N;\N;\N
"43";"1309";"13079";"2005-08-21";"16:22:00";\N;"4195.3701172";"-1.652590036";\N;\N;\N;\N
"44";"1309";"13079";"2005-08-21";"16:39:00";\N;"2588.0600586";\N;\N;\N;\N;\N
"45";"1309";"13079";"2005-08-21";"16:55:00";\N;"3841.0400391";"-1.753059983";\N;\N;\N;\N
"46";"1401";"14012";"2005-11-14";"10:24:00";\N;"8552";"-1";\N;\N;\N;\N
"47";"1401";"14012";"2005-11-14";"10:39:00";"0.8199999928";"7431";"2.888999939";\N;\N;\N;\N
"48";"1401";"14012";"2005-11-14";"10:53:00";"0.5199999809";"31375";"-0.559000015";\N;\N;\N;\N
"49";"1401";"14012";"2005-11-14";"11:08:00";"2.9000000954";"3371";"-3.16899991";\N;\N;\N;\N
"50";"1404";"14035";"2006-03-26";"09:52:00";"0.523999989";"27916.199219";\N;\N;\N;\N;\N
"51";"1404";"14035";"2006-03-26";"10:09:00";\N;"39023.800781";\N;\N;\N;\N;\N
"52";"1404";"14035";"2006-03-26";"10:23:00";"5.617000103";"54452.5";\N;\N;\N;\N;\N
"53";"1404";"14035";"2006-03-26";"10:37:00";\N;"39467.898438";\N;\N;\N;\N;\N
"54";"1407";"14066";"2006-08-11";"10:00:00";"0.6019999981";"6410.2597656";"-1.978000045";\N;\N;\N;\N
"55";"1501";"15016";"2005-11-21";"17:30:00";"0.1599999964";"12220";"0.7149999738";\N;\N;\N;\N
"56";"1501";"15016";"2005-11-21";"17:31:00";"2.4400000572";"7077";"-1.710000038";\N;\N;\N;\N
"57";"1501";"15016";"2005-11-21";"18:04:00";\N;"5729";"-1.32099998";\N;\N;\N;\N
"58";"1501";"15016";"2005-11-21";"18:20:00";\N;"7819";\N;\N;\N;\N;\N
"59";"1504";"15056";"2006-04-02";"17:31:00";"4.1680002213";"19146";\N;\N;\N;\N;\N
"60";"1504";"15056";"2006-04-02";"17:46:00";"32.880001068";\N;\N;\N;\N;\N;\N
"61";"1504";"15057";"2006-04-02";"18:05:00";"2.8039999008";"35987.101562";\N;\N;\N;\N;\N
"62";"1504";"15057";"2006-04-02";"18:20:00";\N;"10830.299805";\N;\N;\N;\N;\N
"63";"1504";"15058";"2006-04-08";"10:40:00";"51.358001709";"56454.898438";\N;\N;\N;\N;\N
"64";"1504";"15058";"2006-04-08";"10:55:00";"41.826000214";"49952.101562";\N;\N;\N;\N;\N
"65";"1507";"15119";"2006-08-03";"10:40:00";"-2.211999893";"13991.400391";\N;\N;\N;\N;\N
"66";"1507";"15119";"2006-08-03";"10:54:00";"-1.736999989";"13477.799805";\N;\N;\N;\N;\N
"67";"1601";"16013";"2005-11-17";"10:47:00";\N;\N;"-0.226999998";\N;\N;\N;\N
"68";"1601";"16013";"2005-11-17";"11:01:00";\N;\N;"-0.215000004";\N;\N;\N;\N
"69";"1601";"16013";"2005-11-17";"11:14:00";\N;\N;"0.8299999833";\N;\N;\N;\N
"70";"1601";"16013";"2005-11-17";"11:29:00";\N;\N;"0.3179999888";\N;\N;\N;\N
"71";"1601";"16014";"2005-11-20";"07:33:00";"0.4399999976";"36794";"0.1809999943";\N;\N;\N;\N
"72";"1601";"16014";"2005-11-20";"07:48:00";\N;"29094";"-1.539999962";\N;\N;\N;\N
"73";"1601";"16014";"2005-11-20";"08:03:00";"0.0700000003";"24383";"0.7129999995";\N;\N;\N;\N
"74";"1601";"16014";"2005-11-20";"08:30:00";\N;"35173";"-1";\N;\N;\N;\N
"75";"1604";"16041";"2006-03-29";"13:54:00";"-1.633999944";\N;\N;\N;\N;\N;\N
"76";"1604";"16041";"2006-03-29";"14:03:00";"0.273999989";"3219.0300293";\N;\N;\N;\N;\N
"77";"1604";"16042";"2006-03-29";"10:19:00";"-0.801999986";"29098.400391";\N;\N;\N;\N;\N
"78";"1604";"16042";"2006-03-29";"10:47:00";"1.618999958";"38733.5";\N;\N;\N;\N;\N
"79";"1604";"16042";"2006-03-29";"11:01:00";"2.7880001068";"33771.5";\N;\N;\N;\N;\N
"80";"1607";"16042";"2006-08-08";"09:40:00";"-4.388000011";"28310.199219";\N;\N;\N;\N;\N
"81";"1607";"16042";"2006-08-08";"09:54:00";\N;"5821.4101562";\N;\N;\N;\N;\N
"82";"1607";"16072";"2006-08-08";"09:19:00";"7.125";\N;\N;\N;\N;\N;\N
