"idAbioticoSuperficie";"idCampanha";"idSitio";"dataMedida";"horaMedida";"dic";"nt";"pt";"delta13c";"delta15n"
"159";"1508";"15161";"2006-08-02";"13:50:00";"4.0647001266";"82.602500916";"3.5621399879";\N;\N
"160";"1502";"15162";"2005-11-22";"11:28:00";"6.4876999855";"89.155502319";"2.8902599812";\N;\N
"161";"1505";"15162";"2006-04-04";"15:45:00";"6.3926000595";"96.647102356";"4.2727899551";\N;\N
"162";"1508";"15162";"2006-08-02";"15:30:00";"16.312000275";"56.481899261";"14.749099731";\N;\N
"163";"1502";"15163";"2005-11-22";"12:23:00";"3.1545000076";"28.267799377";"2.3682599068";\N;\N
"164";"1505";"15163";"2006-04-04";"14:00:00";"4.5392999649";"39.635700226";"1.4858100414";\N;\N
"165";"1508";"15163";"2006-08-02";"11:20:00";"3.3506000042";"49.468898773";"0.7431070209";\N;\N
"166";"1502";"15164";"2005-11-22";"16:20:00";"4.1031999588";"22.350299835";"1.8465100527";\N;\N
"167";"1505";"15164";"2006-04-04";"12:07:00";"3.5480999947";"38.258598328";"0.8106819987";\N;\N
"168";"1508";"15164";"2006-08-02";"12:15:00";"4.2662000656";"42.055099487";"2.1201798916";\N;\N
"169";"1502";"15165";"2005-11-23";"16:58:00";"3.2736001015";"46.877601624";"1.9171500206";\N;\N
"170";"1505";"15165";"2006-04-02";"14:40:00";"3.4960000515";"36.831401825";"0.7513700128";\N;\N
"171";"1502";"15166";"2005-11-23";"18:44:00";"8.7075996399";"25.177000046";"1.7282799482";\N;\N
"172";"1505";"15166";"2006-04-02";"13:00:00";"13.125499725";"48.309299469";"8.3939504623";\N;\N
"173";"1508";"15166";"2006-08-01";"07:00:00";"0";"60.53850174";"12.290499687";\N;\N
"174";"1502";"15167";"2005-11-22";"13:23:00";"4.1008000374";"21.815799713";"1.8031599522";\N;\N
"175";"1505";"15167";"2006-04-04";"12:30:00";"4.3312001228";"85.354301453";"4.3206801414";\N;\N
"176";"1508";"15167";"2006-08-02";"10:15:00";"12.663999557";"37.756999969";"2.2789800167";\N;\N
"177";"1502";"15168";"2005-11-22";"10:00:00";"7.5223999023";"40.014198303";"6.1220397949";\N;\N
"178";"1508";"15168";"2006-08-02";"11:00:00";"6.4779000282";"48.970401764";"3.7902700901";\N;\N
"179";"1502";"15169";"2005-11-23";"19:00:00";"3.404900074";"35.399501801";"1.4458500147";\N;\N
"180";"1505";"15169";"2006-04-02";"12:41:00";"3.5120000839";"40.044300079";"0.812853992";\N;\N
"181";"1508";"15169";"2006-07-31";"16:02:00";"2.9814999104";"39.143398285";"1.3682899475";\N;\N
"182";"1502";"15170";"2005-11-23";"16:49:00";"3.344399929";"34.641399384";"0.9655709863";\N;\N
"183";"1505";"15170";"2006-04-04";"13:44:00";"3.766299963";"30.493600845";"1.0980600119";\N;\N
"184";"1508";"15170";"2006-08-02";"12:55:00";"1.7972999811";"57.838600159";"1.5502599478";\N;\N
"185";"1502";"15171";"2005-11-15";"16:19:00";"3.8429000378";"21.9416008";"1.0355399847";\N;\N
"186";"1505";"15171";"2006-04-02";"13:47:00";"3.2964999676";"40.010700226";"0.3260290027";\N;\N
"187";"1508";"15171";"2006-07-31";"06:29:00";"3.4486999512";"43.277801514";"1.1871800423";\N;\N
"188";"1502";"15172";"2005-11-22";"17:40:00";"3.4918999672";"23.390899658";"4.1306900978";\N;\N
"189";"1505";"15172";"2006-04-04";"14:30:00";"3.8552000523";"28.23500061";"3.6308100224";\N;\N
"190";"1508";"15172";"2006-08-02";"15:50:00";"3.2084000111";"26.242099762";"2.3232200146";\N;\N
"191";"1502";"15173";"2005-11-21";"09:00:00";"5.662899971";"72.706001282";"2.3960800171";\N;\N
"192";"1505";"15173";"2006-04-04";"18:45:00";"3.736399889";"31.219999313";"0.6447510123";\N;\N
"193";"1508";"15173";"2006-08-02";"17:30:00";"2.2304000854";"44.822200775";"2.9105000496";\N;\N
"194";"1502";"15174";"2005-11-15";"17:22:00";"3.7198998928";"36.751598358";"1.177670002";\N;\N
"195";"1505";"15174";"2006-04-02";"14:42:00";"3.782200098";"23.713600159";"1.9275399446";\N;\N
"196";"1508";"15174";"2006-07-31";"08:07:00";"3.1858000755";"29.23390007";"1.5122200251";\N;\N
"197";"1502";"15175";"2005-11-16";"12:20:00";"5.701499939";"24.45870018";"2.6691000462";\N;\N
"198";"1505";"15175";"2006-04-02";"17:40:00";"0";"38.932098389";"0.9006950259";\N;\N
"199";"1508";"15175";"2006-08-01";"08:00:00";"4.9040999413";"28.552499771";"2.8682200909";\N;\N
"200";"1502";"15176";"2005-11-15";"18:30:00";"3.532200098";"52.952999115";"1.5067600012";\N;\N
"201";"1505";"15176";"2006-04-02";"16:14:00";"3.3873000145";"26.315700531";"1.0330799818";\N;\N
"202";"1508";"15176";"2006-07-31";"09:00:00";"2.983700037";"36.111301422";"2.3564600945";\N;\N
"203";"1502";"15177";"2005-11-23";"10:00:00";"3.2506000996";"19.584400177";"1.2664400339";\N;\N
"204";"1505";"15177";"2006-04-03";"14:50:00";"4.622300148";"23.413600922";"5.3911700249";\N;\N
"205";"1508";"15177";"2006-07-31";"18:00:00";"3.2097001076";"40.571498871";"1.6044100523";\N;\N
"206";"1502";"15178";"2005-11-15";"18:00:00";"3.4275999069";"35.85710144";"1.2626700401";\N;\N
"207";"1505";"15178";"2006-04-03";"09:30:00";"3.5903999805";"50.959300995";"0.6619790196";\N;\N
"208";"1508";"15178";"2006-07-31";"09:45:00";"3.0267000198";"37.019199371";"1.0596300364";\N;\N
"209";"1502";"15179";"2005-11-21";"13:00:00";"2.9914000034";"21.833099365";"1.0930199623";\N;\N
"210";"1505";"15179";"2006-04-03";"11:52:00";"3.4999001026";"36.095001221";"0.5966640115";\N;\N
"211";"1508";"15179";"2006-08-01";"12:25:00";"3.2964999676";"37.982898712";"1.0923800468";\N;\N
"212";"1508";"15180";"2006-07-31";"13:00:00";"3.4988999367";"44.361000061";"1.038079977";\N;\N
"213";"1602";"16090";"2005-11-21";"09:00:00";"10.282099724";"40.213298798";"3.5512700081";\N;\N
"214";"1605";"16090";"2006-04-07";"17:45:00";"7.9372000694";"60.005001068";"1.4603799582";\N;\N
"215";"1608";"16090";"2006-08-04";"13:00:00";"11.048999786";"147.45100403";"3.7156300545";\N;\N
"216";"1602";"16091";"2005-11-17";"17:00:00";"3.5559000969";"22.746500015";"1.0429899693";\N;\N
"217";"1605";"16091";"2006-04-07";"11:06:00";"3.6865000725";"29.378599167";"0.9276310205";\N;\N
"218";"1608";"16091";"2006-08-04";"14:50:00";"3.4927000999";"58.406200409";"0.737251997";\N;\N
"219";"1602";"16092";"2005-11-17";"18:00:00";"3.6431999207";"15.485099792";"1.084800005";\N;\N
"220";"1605";"16092";"2006-04-07";"11:40:00";"3.7332000732";"52.421398163";"0.5973129869";\N;\N
"221";"1608";"16092";"2006-08-04";"16:00:00";"3.7193000317";"44.136199951";"5.4281301498";\N;\N
"222";"1602";"16093";"2005-11-17";"19:00:00";"4.4397997856";"26.931600571";"1.4709500074";\N;\N
"223";"1605";"16093";"2006-04-07";"13:30:00";"3.6870000362";"122.07499695";"0.6153100133";\N;\N
"224";"1608";"16093";"2006-08-04";"17:00:00";"3.2948999405";"42.51210022";"0.7907530069";\N;\N
"225";"1602";"16094";"2005-11-21";"08:00:00";"6.4328999519";"30.014200211";"2.8430800438";\N;\N
"226";"1608";"16094";"2006-08-04";"15:30:00";"8.9912004471";"156.41000366";"3.9343700409";\N;\N
"227";"1602";"16095";"2005-11-17";"19:00:00";"3.4542000294";"17.750200272";"1.4188400507";\N;\N
"228";"1605";"16095";"2006-04-12";"12:45:00";"3.2562999725";"71.744300842";"0.3947759867";\N;\N
"229";"1608";"16095";"2006-08-04";"17:40:00";"3.3977000713";"130.41000366";"1.4439200163";\N;\N
"230";"1602";"16096";"2005-11-17";"12:44:00";"2.7836000919";"6.1747899055";"1.5533200502";\N;\N
"231";"1602";"16097";"2005-11-17";"12:21:00";"3.2135999203";"12.852600098";"1.4397699833";\N;\N
"232";"1605";"16097";"2006-04-11";"17:15:00";"3.0209999084";"35.021400452";"0.6497809887";\N;\N
"233";"1608";"16097";"2006-08-08";"14:40:00";"2.8771998882";"27.524499893";"0.5144960284";\N;\N
"234";"1602";"16098";"2005-11-17";"11:13:00";"3.3289999962";"16.661899567";"1.2039599419";\N;\N
"235";"1605";"16098";"2006-04-11";"16:30:00";"3.0773000717";"11.072099686";"1.1234799623";\N;\N
"236";"1608";"16098";"2006-08-08";"10:40:00";"3.1479001045";"28.591600418";"3.6649000645";\N;\N
"237";"1605";"16099";"2006-04-07";"18:26:00";"14.55300045";"47.099998474";"6.3622398376";\N;\N
"238";"1608";"16099";"2006-08-04";"14:30:00";"22.484699249";"193.21200562";"20.900699615";\N;\N
